rpm -qa --queryformat "%{name},%{version}-%{release},%{arch}\n" | LANG=C sort
libkcapi,1.2.0-2.0.1.el8,x86_64
libkcapi-hmaccalc,1.2.0-2.0.1.el8,x86_64
libknet1,1.16-1.el8,x86_64
libknet1-compress-bzip2-plugin,1.16-1.el8,x86_64
libknet1-compress-lz4-plugin,1.16-1.el8,x86_64
libknet1-compress-lzma-plugin,1.16-1.el8,x86_64
libknet1-compress-lzo2-plugin,1.16-1.el8,x86_64
libknet1-compress-plugins-all,1.16-1.el8,x86_64
libknet1-compress-zlib-plugin,1.16-1.el8,x86_64
libknet1-crypto-nss-plugin,1.16-1.el8,x86_64
libknet1-crypto-openssl-plugin,1.16-1.el8,x86_64
libknet1-crypto-plugins-all,1.16-1.el8,x86_64
libknet1-plugins-all,1.16-1.el8,x86_64
libksba,1.3.5-7.el8,x86_64
libldb,2.1.3-2.el8,x86_64
libmetalink,0.1.3-7.el8,x86_64
libmnl,1.0.4-6.el8,x86_64
libmodulemd,2.9.4-2.el8,x86_64
libmount,2.32.1-24.el8,x86_64
libnfsidmap,2.3.3-35.el8,x86_64
libnftnl,1.1.5-4.el8,x86_64
libnghttp2,1.33.0-3.el8_2.1,x86_64
libnl3,3.5.0-1.el8,x86_64
libnozzle1,1.16-1.el8,x86_64
libnsl2,1.2.0-2.20180605git4a062cf.el8,x86_64
libpath_utils,0.2.1-39.el8,x86_64
libpcap,1.9.1-4.el8,x86_64
libpipeline,1.5.0-2.el8,x86_64
libpkgconf,1.4.2-1.el8,x86_64
libpmem,1.6.1-1.el8,x86_64
libpmemblk,1.6.1-1.el8,x86_64
libpng,1.6.34-5.el8,x86_64
libpq,12.4-1.el8_2,x86_64
libpsl,0.20.2-6.el8,x86_64
libpwquality,1.4.0-9.el8,x86_64
libqb,1.0.3-12.el8,x86_64
librados2,12.2.7-9.el8,x86_64
librbd1,12.2.7-9.el8,x86_64
librdmacm,29.0-3.el8,x86_64
libref_array,0.1.5-39.el8,x86_64
librepo,1.12.0-2.el8,x86_64
libreport-filesystem,2.9.5-15.0.1.el8,x86_64
libseccomp,2.4.3-1.el8,x86_64
libselinux,2.9-3.el8,x86_64
libselinux-utils,2.9-3.el8,x86_64
libsemanage,2.9-3.el8,x86_64
libsepol,2.9-1.el8,x86_64
libsigsegv,2.11-5.el8,x86_64
libsmartcols,2.32.1-24.el8,x86_64
libsolv,0.7.11-1.el8,x86_64
libss,1.45.6-1.el8,x86_64
libssh,0.9.4-2.el8,x86_64
libssh-config,0.9.4-2.el8,noarch
libstdc++,8.3.1-5.1.0.1.el8,x86_64
libtalloc,2.3.1-2.el8,x86_64
libtasn1,4.13-3.el8,x86_64
libtdb,1.4.3-1.el8,x86_64
libtevent,0.10.2-2.el8,x86_64
libthai,0.1.27-2.el8,x86_64
libtirpc,1.1.4-4.el8,x86_64
libunistring,0.9.9-3.el8,x86_64
libusbx,1.0.23-4.el8,x86_64
libuser,0.62-23.el8,x86_64
libutempter,1.1.6-14.el8,x86_64
libuuid,2.32.1-24.el8,x86_64
libuv,1.38.0-2.el8,x86_64
libverto,0.3.0-5.el8,x86_64
libverto-libevent,0.3.0-5.el8,x86_64
libwbclient,4.12.3-12.el8.3,x86_64
libxcb,1.13.1-1.el8,x86_64
libxcrypt,4.1.1-4.el8,x86_64
libxml2,2.9.7-8.0.1.el8,x86_64
libxslt,1.1.32-5.0.1.el8,x86_64
libyaml,0.1.7-5.el8,x86_64
libzstd,1.4.4-1.el8,x86_64
linux-firmware,20200902-999.5.gitd5f9eea5.el8,noarch
lksctp-tools,1.0.18-3.el8,x86_64
lm_sensors,3.4.0-21.20180522git70f7e08.el8,x86_64
lm_sensors-libs,3.4.0-21.20180522git70f7e08.el8,x86_64
lm_sensors-sensord,3.4.0-21.20180522git70f7e08.el8,x86_64
log4j12,1.2.17-22.module+el8+5206+de031079,noarch
logrotate,3.14.0-4.el8,x86_64
logwatch,7.4.3-9.el8,noarch
lshw,B.02.19.2-2.el8,x86_64
lsof,4.93.2-1.el8,x86_64
lsscsi,0.30-1.el8,x86_64
ltrace,0.7.91-28.el8,x86_64
lua,5.3.4-11.el8,x86_64
lua-libs,5.3.4-11.el8,x86_64
lvm2,2.03.09-5.el8,x86_64
lvm2-libs,2.03.09-5.el8,x86_64
lz4,1.8.3-2.el8,x86_64
lz4-libs,1.8.3-2.el8,x86_64
lzo,2.08-14.el8,x86_64
mailcap,2.1.48-3.el8,noarch
mailx,12.5-29.el8,x86_64
man-db,2.7.6.1-17.el8,x86_64
man-pages,4.15-6.el8,x86_64
man-pages-overrides,8.3.0.2-2.el8,noarch
mcelog,166-0.0.1.el8,x86_64
microcode_ctl,20200609-2.0.1.el8,x86_64
mod_http2,1.15.7-2.module+el8.3.0+7816+49791cfd,x86_64
mod_ssl,2.4.37-30.0.1.module+el8.3.0+7816+49791cfd,x86_64
mpfr,3.1.6-1.el8,x86_64
ncurses,6.1-7.20180224.el8,x86_64
ncurses-base,6.1-7.20180224.el8,noarch
ncurses-libs,6.1-7.20180224.el8,x86_64
ndctl-libs,67-2.el8,x86_64
net-snmp-libs,5.8-17.el8,x86_64
net-snmp-utils,5.8-17.el8,x86_64
net-tools,2.0-0.52.20160912git.el8,x86_64
nettle,3.4.1-2.el8,x86_64
network-scripts,10.00.9-1.el8,x86_64
nfs-utils,2.3.3-35.el8,x86_64
nftables,0.9.3-16.el8,x86_64
npth,1.5-4.el8,x86_64
nspr,4.25.0-2.el8_2,x86_64
nss,3.53.1-11.el8_2,x86_64
nss-softokn,3.53.1-11.el8_2,x86_64
nss-softokn-freebl,3.53.1-11.el8_2,x86_64
nss-sysinit,3.53.1-11.el8_2,x86_64
nss-util,3.53.1-11.el8_2,x86_64
ntpstat,0.5-2.el8,noarch
numactl-libs,2.0.12-11.el8,x86_64
ongres-scram,1.0.0~beta.2-5.el8,noarch
ongres-scram-client,1.0.0~beta.2-5.el8,noarch
